1604,聲寶,6
1605,華新,6
1606,歌林,6
1607,新亞電器,6
1608,華榮,6
1609,大亞,6
1611,中電,6
1612,宏泰,6
1613,台一,6
1614,三洋電,6
1615,大山,6
1616,億泰,6
1617,榮星,6
1618,合機,6
1626,艾美特-KY,6
2061,風青,6
4609,唐鋒,6
4930,燦星網,6
5283,禾聯碩,6
1748,大能,7
4717,天泰,7
1801,志富國際,8
1802,台玻,8
1806,冠軍,8
1809,中釉,8
1810,和成,8
1817,凱撒衛,8
1818,願景,8
1902,台紙,9
1903,士紙,9
1904,正隆,9
1905,華紙,9
1906,寶隆,9
1907,永豐餘,9
1909,榮成,9
1918,萬有,9
2002,中鋼,10
2005,友力,10
2006,東和鋼鐵,10
2007,燁興,10
2008,高興昌,10
2009,第一銅,10
2010,春源,10
2012,春雨,10
2013,中鋼構,10
2014,中鴻,10
2015,豐興,10
2016,名佳利,10
2017,官田鋼,10
2019,桂宏,10
2020,美亞,10
2022,聚亨,10
2023,燁輝,10
2024,志聯,10
2025,千興,10
2027,大成鋼,10
2028,威致,10
2029,盛餘,10
2030,彰源,10
2031,新光鋼,10
2032,新鋼,10
2033,佳大,10
2034,允強,10
2035,唐榮,10
2038,海光,10
2045,台灣煉鐵,10
2052,同光,10
2056,璋釔,10
2058,彥武,10
2060,永發,10
2063,世鎧,10
2064,晉椿,10
2065,世豐,10
2069,運錩,10
2071,震南鐵,10
2072,世紀風電,10
2211,長榮鋼,10
3004,豐達科,10
5002,住聯,10
5006,高鋁,10
5007,三星,10
5008,長銘,10
5009,榮剛,10
5011,久陽,10
5013,強新,10
5014,建錩,10
5015,華祺,10
5016,松和,10
5017,新泰伸,10
5538,東明-KY,10
6248,沛波,10
8349,恒耀,10
8415,大國鋼,10
8930,青鋼,10
9957,燁聯,10
9958,世紀鋼,10
9962,有益,10
2101,南港,11
2102,泰豐,11
2103,台橡,11
2104,國際中橡,11
2105,正新,11
2106,建大,11
2107,厚生,11
2108,南帝,11
2109,華豐,11
2113,中光橡,11
2114,鑫永銓,11
4730,通用,11
5102,富強,11
6582,申豐,11
1319,東陽,12
1338,廣華-KY,12
1339,昭輝,12
1512,瑞利,12
1521,大億,12
1522,堤維西,12
1524,耿鼎,12
1525,江申,12
1533,車王電,12
1536,和大,12
1568,倉佑,12
1587,吉茂,12
1592,英瑞-KY,12
2115,六暉-KY,12
2201,裕隆,12
2202,三富,12
2204,中華,12
2206,三陽工業,12
2207,和泰車,12
2227,裕日車,12
2228,劍麟,12
2231,為升,12
2233,宇隆,12
2236,百達-KY,12
2239,英利-KY,12
2243,宏旭-KY,12
2247,汎德永業,12
2497,怡利電,12
3346,麗清,12
4551,智伸科,12
4557,永新-KY,12
4581,光隆精密-KY,12
6288,聯嘉,12
6605,帝寶,12
8702,羽田,12
2306,宏電,13
2309,國勝,13
2310,旭麗,13
2318,佳錄,13
2319,大眾,13
2322,致福,13
2326,亞瑟,13
2334,國豐,13
2335,清三,13
2339,合泰,13
2343,精業,13
2366,亞旭,13
2370,匯僑工業,13
2378,鴻運電子,13
2386,國電,13
2389,世昕,13
2394,普立爾,13
2398,博達,13
